Title,Year,Target Age >,IMDb,Netflix,Hulu,Prime Video,Disney+
The Staircase,2005,16.0,7.9,1,0,0,0
Madam Secretary,2014,16.0,7.6,1,0,0,0
Chewing Gum,2015,16.0,7.7,1,0,0,0
Glee,2009,16.0,6.7,1,0,0,0
Fairy Tail,2009,16.0,8.0,1,1,0,0
The Order,2019,18.0,6.9,1,0,0,0
Legacies,2018,16.0,7.5,1,0,0,0
North & South,2004,7.0,8.6,1,0,0,0
Helix,2014,16.0,6.8,1,0,0,0
Safe,2018,18.0,7.3,1,0,0,0
Evil Genius,2018,18.0,7.6,1,0,0,0
Marvel's Iron Fist,2017,18.0,6.5,1,0,0,0
Lilyhammer,2012,18.0,8.0,1,0,0,0
Voltron: Legendary Defender,2016,7.0,8.1,1,0,0,0
Blue Mountain State,2010,18.0,8.3,1,0,0,0
Pokémon,1997,7.0,7.5,1,1,1,0
Cheers,1982,7.0,7.8,1,1,1,0
Marianne,2019,18.0,7.5,1,0,0,0
Star Trek: Enterprise,2001,7.0,7.5,1,1,1,0
Portlandia,2011,16.0,7.8,1,0,0,0
Five Came Back,2017,16.0,8.3,1,0,0,0
American Crime,2015,16.0,7.8,1,0,0,0
Skins,2007,18.0,8.2,1,0,0,0
Glitch,2015,16.0,7.4,1,0,0,0
GHOUL,2018,18.0,7.1,1,0,0,0
JoJo's Bizarre Adventure,2012,18.0,8.4,1,1,0,0
The Society,2019,18.0,7.0,1,0,0,0
Code Geass: Lelouch of the Rebellion,2006,18.0,8.6,1,0,0,0
Dracula,2020,18.0,6.8,1,0,0,0
Quantico,2015,16.0,6.7,1,0,0,0
Medici: Masters of Florence,2016,7.0,7.9,1,0,0,0
She-Ra and the Princesses of Power,2018,0.0,7.3,1,0,0,0
Versailles,2015,16.0,7.9,1,0,0,0
Rise of Empires: Ottoman,2020,18.0,8.0,1,0,0,0
The Mechanism,2018,16.0,8.4,1,0,0,0
Everything Sucks!,2018,16.0,7.5,1,0,0,0
Raising Dion,2019,7.0,7.2,1,0,0,0
All American,2018,16.0,7.7,1,0,0,0
Fullmetal Alchemist,2003,16.0,8.6,1,0,0,0
The Rain,2018,18.0,6.3,1,0,0,0
ERASED,2016,16.0,8.5,1,1,0,0
Nailed It!,2018,7.0,7.4,1,0,0,0
Last Tango in Halifax,2012,16.0,8.3,1,0,0,0
Star-Crossed,2014,16.0,7.3,1,0,0,0
The Politician,2019,16.0,7.5,1,0,0,0
Documentary Now!,2015,18.0,8.1,1,0,0,0
Baby,2018,18.0,6.8,1,0,0,0
Secret City,2016,16.0,7.4,1,0,0,0
Abstract: The Art of Design,2017,16.0,8.4,1,0,0,0
Shooter,2016,16.0,7.5,1,0,0,0
Marcella,2016,18.0,7.4,1,0,0,0
The Chef Show,2019,18.0,8.2,1,0,0,0
Rurouni Kenshin,1996,16.0,8.5,1,1,1,0
The Seven Deadly Sins,2014,16.0,8.1,1,0,0,0
InuYasha,2000,16.0,7.9,1,1,0,0
The Circle,2020,18.0,7.5,1,0,0,0
The Devil Next Door,2019,18.0,7.6,1,0,0,0
Descendants of the Sun,2016,16.0,8.4,1,1,1,0
The Hollow,2018,7.0,7.2,1,0,0,0
Frontier,2016,18.0,7.2,1,0,0,0
Your Lie in April,2014,7.0,8.6,1,1,0,0
Ancient Aliens,2010,7.0,7.3,1,1,1,0
Sword Art Online,2012,16.0,7.6,1,1,0,0
Frequency,2016,7.0,7.5,1,0,0,0
Wentworth,2013,18.0,8.6,1,0,0,0
Beauty and the Beast,2012,16.0,7.0,1,0,1,0
Cold Justice,2013,16.0,7.9,1,0,0,0
Hyperdrive,2019,7.0,8.1,1,0,0,0
Time: The Kalief Browder Story,2017,16.0,8.5,1,0,0,0
The Toys That Made Us,2017,16.0,8.1,1,0,0,0
Seven Seconds,2018,18.0,7.7,1,0,0,0
Spinning Out,2020,18.0,7.7,1,0,0,0
Killer Inside: The Mind of Aaron Hernandez,2020,18.0,7.4,1,0,0,0
El internado,2007,7.0,8.2,1,0,0,0
Frozen Planet,2011,0.0,9.0,1,0,0,0
London Spy,2015,18.0,7.5,1,0,0,0
Parasyte -the maxim-,2014,18.0,8.4,1,1,0,0
Containment,2016,16.0,7.2,1,0,0,0
Black Lightning,2018,16.0,6.1,1,0,0,0
Merlí,2015,16.0,8.6,1,0,0,0
Derek,2013,16.0,8.0,1,0,0,0
Last Chance U,2016,16.0,8.5,1,0,0,0
Mars,2016,7.0,7.5,1,0,0,0
Love is Blind,2020,7.0,6.0,1,0,0,0
Love 101,2020,18.0,7.7,1,0,0,0
3%,2016,7.0,7.4,1,0,0,0
Zoo,2015,16.0,6.8,1,0,0,0
Daybreak,2019,18.0,6.7,1,0,0,0
Hemlock Grove,2013,18.0,7.1,1,0,0,0
Trailer Park Boys,2001,18.0,8.4,1,0,0,0
Private Practice,2007,16.0,6.6,1,1,0,0
Ragnarok,2020,18.0,7.5,1,0,0,0
Akame ga Kill!,2014,18.0,7.9,1,1,0,0
Insatiable,2018,16.0,6.6,1,0,0,0
No Tomorrow,2016,7.0,7.2,1,0,0,0
The Ranch,2016,16.0,7.5,1,0,0,0
Ramayan,1987,0.0,9.3,1,0,0,0
Surviving R. Kelly,2019,18.0,7.6,1,0,0,0
Easy,2016,18.0,6.9,1,0,0,0
Self Made: Inspired by the Life of Madam C.J. Walker,2020,16.0,7.4,1,0,0,0
Knightfall,2017,16.0,6.8,1,0,0,0
Kim's Convenience,2016,16.0,8.1,1,0,0,0
Carmen Sandiego,2019,7.0,7.9,1,0,0,0
Inside Bill's Brain: Decoding Bill Gates,2019,16.0,8.0,1,0,0,0
Saint Seiya,1986,7.0,8.4,1,0,1,0
Flint Town,2018,18.0,8.0,1,0,0,0
Rake,2010,16.0,8.6,1,1,1,0
Rilakkuma and Kaoru,2019,7.0,8.4,1,0,0,0
Scooby-Doo! Mystery Incorporated,2010,7.0,8.0,1,0,0,0
anohana: The Flower We Saw That Day,2011,16.0,8.2,1,0,0,0
Africa,2013,0.0,9.0,1,0,0,0
The Frankenstein Chronicles,2015,16.0,7.3,1,0,0,0
Meteor Garden,2018,16.0,8.2,1,0,0,0
Wu Assassins,2019,18.0,6.4,1,0,0,0
The Black Donnellys,2007,16.0,8.1,1,0,0,0
H2O: Just Add Water,2006,0.0,7.2,1,1,1,0
Collateral,2018,7.0,6.7,1,0,0,0
1983,2018,18.0,6.8,1,0,0,0
November 13: Attack on Paris,2018,18.0,8.3,1,0,0,0
Black Butler,2008,16.0,7.8,1,1,0,0
The Confession Tapes,2017,16.0,7.5,1,0,0,0
Bad Blood,2017,18.0,7.5,1,0,0,0
Formula 1: Drive to Survive,2019,16.0,8.6,1,0,0,0
The Great British Bake Off,2010,7.0,8.6,1,0,0,0
The Trials of Gabriel Fernandez,2020,18.0,8.2,1,0,0,0
Ugly Delicious,2018,18.0,7.8,1,0,0,0
The Night Shift,2014,16.0,7.4,1,0,0,0
Impractical Jokers,2011,16.0,8.5,1,0,0,0
The Andy Griffith Show,1960,0.0,8.3,1,0,1,0
Aquarius,2015,16.0,7.1,1,0,0,0
Black Summer,2019,18.0,6.4,1,0,0,0
Bonding,2019,16.0,7.2,1,0,0,0
Miraculous: Tales of Ladybug & Cat Noir,2015,7.0,7.8,1,0,0,0
Animaniacs,1993,0.0,7.9,1,1,0,0
When Calls the Heart,2014,0.0,8.2,1,0,0,0
Young & Hungry,2014,16.0,7.4,1,0,0,0
Club de Cuervos,2015,18.0,8.2,1,0,0,0
I'm Sorry,2017,7.0,7.9,1,0,0,0
The Universe,2007,16.0,8.8,1,0,0,0
The Chalet,2018,18.0,7.0,1,0,0,0
My Next Guest Needs No Introduction With David Letterman,2018,18.0,7.9,1,0,0,0
Still Game,2002,16.0,8.9,1,0,0,0
NOVA,1974,7.0,8.7,1,0,1,0
The Confession Killer,2019,16.0,7.4,1,0,0,0
Father Brown,2013,7.0,7.7,1,0,0,0
Bordertown,2016,7.0,7.6,1,0,0,0
Battle Creek,2015,16.0,7.3,1,0,0,0
Valhalla Murders,2019,18.0,7.1,1,0,0,0
Scream: The TV Series,2015,16.0,7.2,1,0,0,0
Special,2019,18.0,7.6,1,0,0,0
CSI: Miami,2002,16.0,6.4,1,1,0,0
3Below: Tales of Arcadia,2018,7.0,7.8,1,0,0,0
Mystery Science Theater 3000: The Return,2017,16.0,8.0,1,0,0,0
Dear White People,2017,16.0,6.2,1,0,0,0
LEGO Ninjago: Masters of Spinjitzu,2012,0.0,6.8,1,0,1,0
White Gold,2017,18.0,7.4,1,0,0,0
The Protector,2018,16.0,6.9,1,0,0,0
Dirty John,2018,16.0,7.1,1,0,0,0
Get Shorty,2017,18.0,8.2,1,0,0,0
30 for 30,2009,7.0,8.8,1,0,0,0
Good Witch,2015,7.0,7.3,1,0,0,0
It's Bruno!,2019,7.0,7.5,1,0,0,0
Gurren Lagann,2007,16.0,8.3,1,0,0,0
Gentefied,2020,16.0,7.3,1,0,0,0
Victorious,2010,7.0,6.9,1,0,0,0
Dynasty,2017,16.0,7.3,1,0,0,0
The Curious Creations of Christine McConnell,2018,7.0,7.7,1,0,0,0
El Chapo,2017,16.0,7.8,1,0,0,0
Trinkets,2019,7.0,7.1,1,0,0,0
The Get Down,2016,16.0,8.3,1,0,0,0
Masum,2017,16.0,8.5,1,0,0,0
My Little Pony: Friendship Is Magic,2010,7.0,7.6,1,1,0,0
Fuller House,2016,7.0,6.8,1,0,0,0
Kill la Kill,2013,18.0,7.9,1,0,0,0
Dark Tourist,2018,18.0,7.6,1,0,0,0
Great News,2017,7.0,7.0,1,0,0,0
Ouran High School Host Club,2006,16.0,8.2,1,1,0,0
Grand Hotel,2011,7.0,8.4,1,0,0,0
The Curse of Oak Island,2014,7.0,7.0,1,1,0,0
Workin' Moms,2017,18.0,7.5,1,0,0,0
Z Nation,2014,18.0,6.7,1,0,0,0
"Roswell, New Mexico",2019,16.0,6.1,1,0,0,0
Comedians in Cars Getting Coffee,2012,16.0,8.1,1,0,0,0
Conan,2010,16.0,8.1,1,0,0,0
Friends from College,2017,18.0,6.8,1,0,0,0
Wormwood,2017,16.0,7.0,1,0,0,0
Watership Down,2018,7.0,7.2,1,0,0,0
Bitten,2014,16.0,7.0,1,0,0,0
No Game No Life,2014,16.0,7.9,1,0,0,0
Violet Evergarden,2018,16.0,8.4,1,0,0,0
Clannad,2007,7.0,7.9,1,1,0,0
Gypsy,2017,18.0,6.9,1,0,0,0
Virgin River,2019,16.0,7.5,1,0,0,0
Gilmore Girls: A Year in the Life,2016,16.0,7.7,1,0,0,0
The Innocent Man,2018,18.0,7.4,1,0,0,0
Tuca & Bertie,2019,16.0,7.4,1,0,0,0
#blackAF,2020,18.0,6.6,1,0,0,0
Lovesick,2014,18.0,8.1,1,0,0,0
Mr. Iglesias,2019,16.0,7.1,1,0,0,0
Hot Girls Wanted: Turned On,2017,18.0,6.7,1,0,0,0
Borgia,2011,18.0,7.8,1,0,0,0
Trollhunters: Tales of Arcadia,2016,7.0,8.4,1,0,0,0
La Reina del Sur,2011,18.0,8.1,1,0,0,0
We Bare Bears,2015,7.0,7.9,1,1,0,0
Liv and Maddie,2013,0.0,6.3,1,0,0,0
In the Dark,2019,16.0,7.3,1,0,0,0
The Time in Between,2013,7.0,8.4,1,0,0,0
Cleverman,2016,16.0,6.4,1,0,0,0
"Pablo Escobar, The Drug Lord",2012,18.0,8.5,1,0,0,0
Wet Hot American Summer: First Day of Camp,2015,16.0,7.4,1,0,0,0
Vampire Knight,2008,16.0,7.5,1,1,0,0
The Untamed,2019,7.0,8.9,1,0,0,0
Taken,2017,16.0,6.6,1,1,0,0
Transformers: Prime,2010,7.0,7.8,1,0,0,0
Forensic Files,1996,16.0,8.8,1,1,1,0
Paradise PD,2018,18.0,7.0,1,0,0,0
The House of Flowers,2018,18.0,7.7,1,0,0,0
Quicksand,2019,18.0,7.5,1,0,0,0
The Messengers,2015,16.0,6.5,1,0,0,0
Magi,2012,16.0,7.9,1,1,0,0
Patriot Act with Hasan Minhaj,2018,18.0,8.2,1,0,0,0
Damnation,2017,18.0,7.7,1,0,0,0
Jericho,2006,16.0,7.2,1,0,0,0
American Odyssey,2015,16.0,7.3,1,0,0,0
Lab Rats,2012,7.0,6.6,1,0,0,1
Little Things,2016,18.0,8.3,1,0,0,0
From Dusk Till Dawn: The Series,2014,18.0,6.9,1,0,0,0
Grand Designs,1999,7.0,8.5,1,0,0,0
Explained,2018,16.0,8.0,1,0,0,0
Rhythm + Flow,2019,18.0,7.6,1,0,0,0
Carole & Tuesday,2019,7.0,7.9,1,0,0,0
Teresa,2010,7.0,7.7,1,0,0,0
Tabula Rasa,2017,18.0,8.1,1,0,0,0
Seis Manos,2019,18.0,7.3,1,0,0,0
Cable Girls,2017,16.0,7.7,1,0,0,0
Lady Dynamite,2016,16.0,7.4,1,0,0,0
Sunderland 'Til I Die,2018,18.0,8.2,1,0,0,0
Oliver Stone's Untold History of the United States,2012,0.0,8.6,1,0,0,0
Toy Boy,2019,18.0,6.5,1,0,0,0
Humsafar,2011,0.0,9.0,1,0,0,0
Norsemen,2016,18.0,7.8,1,0,0,0
El marginal,2016,18.0,8.2,1,0,0,0
Van Helsing,2016,16.0,6.2,1,0,0,0
Crossing Lines,2013,16.0,7.3,1,0,0,0
The Eddy,2020,18.0,7.0,1,0,0,0
A.D. The Bible Continues,2015,16.0,7.4,1,0,0,0
The Letter for the King,2020,7.0,5.9,1,0,0,0
The Boat,2011,0.0,7.3,1,0,0,0
Is It Wrong to Try to Pick Up Girls in a Dungeon?,2015,16.0,7.4,1,1,0,0
The Story of God with Morgan Freeman,2016,16.0,7.9,1,0,0,0
Greenhouse Academy,2017,7.0,7.0,1,0,0,0
Diagnosis,2019,18.0,7.8,1,0,0,0
W/ Bob & David,2015,18.0,7.4,1,0,0,0
Queen Sono,2020,18.0,5.8,1,0,0,0
Rotten,2018,18.0,7.1,1,0,0,0
Requiem,2018,18.0,6.5,1,0,0,0
Aggretsuko,2018,16.0,8.0,1,0,0,0
October Faction,2020,18.0,6.1,1,0,0,0
Rubí,2004,7.0,8.1,1,0,0,0
The New Legends of Monkey,2018,7.0,6.5,1,0,0,0
America's Funniest Home Videos,1989,7.0,6.2,1,1,0,1
Something in the Rain,2018,7.0,8.1,1,0,0,0
Adam Ruins Everything,2015,16.0,8.0,1,0,0,0
The Heirs,2013,16.0,7.5,1,0,0,0
Durarara!!,2010,16.0,7.9,1,1,0,0
Beastars,2019,16.0,8.0,1,0,0,0
Puella Magi Madoka Magica,2011,16.0,8.3,1,1,0,0
Maid Sama!,2010,16.0,8.0,1,1,0,0
Robotech,1985,7.0,8.5,1,0,1,0
"The Mind, Explained",2019,16.0,8.1,1,0,0,0
Boys Over Flowers,2009,16.0,8.0,1,1,0,0
V Wars,2019,18.0,6.1,1,0,0,0
Occupied,2015,16.0,7.7,1,0,0,0
The Devil Is a Part-Timer!,2013,16.0,7.7,1,0,0,0
Power Rangers,1993,7.0,6.4,1,0,1,0
Fate/stay night [Unlimited Blade Works],2014,18.0,8.0,1,1,0,0
Bobby Kennedy for President,2018,16.0,8.2,1,0,0,0
The Mist,2017,18.0,5.4,1,0,0,0
